Datos que encuentra el metodo de Rungecuta(variable ind.	 variable dep.	 numero de thread)
0.009425	 0.800680 	 numero de thread:0
0.009488	 0.800782 	 numero de thread:0
0.009550	 0.800884 	 numero de thread:0
0.009613	 0.800986 	 numero de thread:0
0.009676	 0.801089 	 numero de thread:0
0.009739	 0.801191 	 numero de thread:0
0.009802	 0.801293 	 numero de thread:0
0.009865	 0.801395 	 numero de thread:0
0.009927	 0.801497 	 numero de thread:0
0.009990	 0.801600 	 numero de thread:0
0.010053	 0.801702 	 numero de thread:0
0.010116	 0.801804 	 numero de thread:0
0.010179	 0.801906 	 numero de thread:0
0.010242	 0.802009 	 numero de thread:0
0.010304	 0.802111 	 numero de thread:0
0.010367	 0.802213 	 numero de thread:0
0.010430	 0.802315 	 numero de thread:0
0.010493	 0.802417 	 numero de thread:0
0.010556	 0.802520 	 numero de thread:0
0.010619	 0.802622 	 numero de thread:0
0.010681	 0.802724 	 numero de thread:0
0.010744	 0.802826 	 numero de thread:0
0.010807	 0.802929 	 numero de thread:0
0.010870	 0.803031 	 numero de thread:0
0.010933	 0.803133 	 numero de thread:0
0.010996	 0.803235 	 numero de thread:0
0.011058	 0.803338 	 numero de thread:0
0.011121	 0.803440 	 numero de thread:0
0.011184	 0.803542 	 numero de thread:0
0.011247	 0.803645 	 numero de thread:0
0.011310	 0.803747 	 numero de thread:0
0.011373	 0.803849 	 numero de thread:0
0.011435	 0.803951 	 numero de thread:0
0.011498	 0.804054 	 numero de thread:0
0.011561	 0.804156 	 numero de thread:0
0.011624	 0.804258 	 numero de thread:0
0.011687	 0.804361 	 numero de thread:0
0.011750	 0.804463 	 numero de thread:0
0.011812	 0.804565 	 numero de thread:0
0.011875	 0.804668 	 numero de thread:0
0.011938	 0.804770 	 numero de thread:0
0.012001	 0.804872 	 numero de thread:0
0.012064	 0.804975 	 numero de thread:0
0.012127	 0.805077 	 numero de thread:0
0.012189	 0.805179 	 numero de thread:0
0.012252	 0.805282 	 numero de thread:0
0.012315	 0.805384 	 numero de thread:0
0.012378	 0.805486 	 numero de thread:0
0.012441	 0.805589 	 numero de thread:0
0.012504	 0.805691 	 numero de thread:0
0.012566	 0.805793 	 numero de thread:0
0.012629	 0.805896 	 numero de thread:0
0.012692	 0.805998 	 numero de thread:0
0.012755	 0.806100 	 numero de thread:0
0.012818	 0.806203 	 numero de thread:0
0.012881	 0.806305 	 numero de thread:0
0.012943	 0.806408 	 numero de thread:0
0.013006	 0.806510 	 numero de thread:0
0.013069	 0.806612 	 numero de thread:0
0.013132	 0.806715 	 numero de thread:0
0.013195	 0.806817 	 numero de thread:0
0.013258	 0.806920 	 numero de thread:0
0.013320	 0.807022 	 numero de thread:0
0.013383	 0.807124 	 numero de thread:0
0.013446	 0.807227 	 numero de thread:0
0.013509	 0.807329 	 numero de thread:0
0.013572	 0.807432 	 numero de thread:0
0.013635	 0.807534 	 numero de thread:0
0.013697	 0.807637 	 numero de thread:0
0.013760	 0.807739 	 numero de thread:0
0.013823	 0.807841 	 numero de thread:0
0.013886	 0.807944 	 numero de thread:0
0.013949	 0.808046 	 numero de thread:0
0.014012	 0.808149 	 numero de thread:0
0.014074	 0.808251 	 numero de thread:0
0.014137	 0.808354 	 numero de thread:0
