Datos que encuentra el metodo de Rungecuta(variable ind.	 variable dep.	 numero de thread)
0.000000	 0.785398
0.000063	 inf 	 numero de thread:0
0.000126	 inf 	 numero de thread:0
0.000188	 inf 	 numero de thread:0
0.000251	 inf 	 numero de thread:0
0.000314	 inf 	 numero de thread:0
0.000377	 inf 	 numero de thread:0
0.000440	 inf 	 numero de thread:0
0.000503	 inf 	 numero de thread:0
0.000565	 inf 	 numero de thread:0
0.000628	 inf 	 numero de thread:0
0.000691	 inf 	 numero de thread:0
0.000754	 inf 	 numero de thread:0
0.000817	 inf 	 numero de thread:0
0.000880	 inf 	 numero de thread:0
0.000942	 inf 	 numero de thread:0
0.001005	 inf 	 numero de thread:0
0.001068	 inf 	 numero de thread:0
0.001131	 inf 	 numero de thread:0
0.001194	 inf 	 numero de thread:0
0.001257	 inf 	 numero de thread:0
0.001319	 inf 	 numero de thread:0
0.001382	 inf 	 numero de thread:0
0.001445	 inf 	 numero de thread:0
0.001508	 inf 	 numero de thread:0
0.001571	 inf 	 numero de thread:0
0.001634	 inf 	 numero de thread:0
0.001696	 inf 	 numero de thread:0
0.001759	 inf 	 numero de thread:0
0.001822	 inf 	 numero de thread:0
0.001885	 inf 	 numero de thread:0
0.001948	 inf 	 numero de thread:0
0.002011	 inf 	 numero de thread:0
0.002073	 inf 	 numero de thread:0
0.002136	 inf 	 numero de thread:0
0.002199	 inf 	 numero de thread:0
0.002262	 inf 	 numero de thread:0
0.002325	 inf 	 numero de thread:0
0.002388	 inf 	 numero de thread:0
0.002450	 inf 	 numero de thread:0
0.002513	 inf 	 numero de thread:0
0.002576	 inf 	 numero de thread:0
0.002639	 inf 	 numero de thread:0
0.002702	 inf 	 numero de thread:0
0.002765	 inf 	 numero de thread:0
0.002827	 inf 	 numero de thread:0
0.002890	 inf 	 numero de thread:0
0.002953	 inf 	 numero de thread:0
0.003016	 inf 	 numero de thread:0
0.003079	 inf 	 numero de thread:0
0.003142	 inf 	 numero de thread:0
0.003204	 inf 	 numero de thread:0
0.003267	 inf 	 numero de thread:0
0.003330	 inf 	 numero de thread:0
0.003393	 inf 	 numero de thread:0
0.003456	 inf 	 numero de thread:0
0.003519	 inf 	 numero de thread:0
0.003581	 inf 	 numero de thread:0
0.003644	 inf 	 numero de thread:0
0.003707	 inf 	 numero de thread:0
0.003770	 inf 	 numero de thread:0
0.003833	 inf 	 numero de thread:0
0.003896	 inf 	 numero de thread:0
