Datos que encuentra el metodo de Rungecuta(variable ind.	 variable dep.	 numero de thread)
0.009425	 0.794928 	 numero de thread:3
0.009488	 0.794992 	 numero de thread:3
0.009550	 0.795057 	 numero de thread:3
0.009613	 0.795121 	 numero de thread:3
0.009676	 0.795185 	 numero de thread:3
0.009739	 0.795249 	 numero de thread:3
0.009802	 0.795314 	 numero de thread:3
0.009865	 0.795378 	 numero de thread:3
0.009927	 0.795442 	 numero de thread:3
0.009990	 0.795507 	 numero de thread:3
0.010053	 0.795571 	 numero de thread:3
0.010116	 0.795635 	 numero de thread:3
0.010179	 0.795700 	 numero de thread:3
0.010242	 0.795764 	 numero de thread:3
0.010304	 0.795828 	 numero de thread:3
0.010367	 0.795893 	 numero de thread:3
0.010430	 0.795957 	 numero de thread:3
0.010493	 0.796021 	 numero de thread:3
0.010556	 0.796086 	 numero de thread:3
0.010619	 0.796150 	 numero de thread:3
0.010681	 0.796215 	 numero de thread:3
0.010744	 0.796279 	 numero de thread:3
0.010807	 0.796344 	 numero de thread:3
0.010870	 0.796408 	 numero de thread:3
0.010933	 0.796472 	 numero de thread:3
0.010996	 0.796537 	 numero de thread:3
0.011058	 0.796601 	 numero de thread:3
0.011121	 0.796666 	 numero de thread:3
0.011184	 0.796730 	 numero de thread:3
0.011247	 0.796795 	 numero de thread:3
0.011310	 0.796859 	 numero de thread:3
0.011373	 0.796924 	 numero de thread:3
0.011435	 0.796988 	 numero de thread:3
0.011498	 0.797053 	 numero de thread:3
0.011561	 0.797118 	 numero de thread:3
0.011624	 0.797182 	 numero de thread:3
0.011687	 0.797247 	 numero de thread:3
0.011750	 0.797311 	 numero de thread:3
0.011812	 0.797376 	 numero de thread:3
0.011875	 0.797440 	 numero de thread:3
0.011938	 0.797505 	 numero de thread:3
0.012001	 0.797570 	 numero de thread:3
0.012064	 0.797634 	 numero de thread:3
0.012127	 0.797699 	 numero de thread:3
0.012189	 0.797764 	 numero de thread:3
0.012252	 0.797828 	 numero de thread:3
0.012315	 0.797893 	 numero de thread:3
0.012378	 0.797958 	 numero de thread:3
0.012441	 0.798022 	 numero de thread:3
0.012504	 0.798087 	 numero de thread:3
0.012566	 0.798152 	 numero de thread:3
0.012629	 0.798216 	 numero de thread:3
0.012692	 0.798281 	 numero de thread:3
0.012755	 0.798346 	 numero de thread:3
0.012818	 0.798411 	 numero de thread:3
0.012881	 0.798475 	 numero de thread:3
0.012943	 0.798540 	 numero de thread:3
0.013006	 0.798605 	 numero de thread:3
0.013069	 0.798670 	 numero de thread:3
0.013132	 0.798734 	 numero de thread:3
0.013195	 0.798799 	 numero de thread:3
0.013258	 0.798864 	 numero de thread:3
0.013320	 0.798929 	 numero de thread:3
0.013383	 0.798994 	 numero de thread:3
0.013446	 0.799059 	 numero de thread:3
0.013509	 0.799123 	 numero de thread:3
0.013572	 0.799188 	 numero de thread:3
0.013635	 0.799253 	 numero de thread:3
0.013697	 0.799318 	 numero de thread:3
0.013760	 0.799383 	 numero de thread:3
0.013823	 0.799448 	 numero de thread:3
0.013886	 0.799513 	 numero de thread:3
0.013949	 0.799578 	 numero de thread:3
0.014012	 0.799643 	 numero de thread:3
0.014074	 0.799707 	 numero de thread:3
0.014137	 0.799772 	 numero de thread:3
0.014200	 0.799837 	 numero de thread:3
0.014263	 0.799902 	 numero de thread:3
0.014326	 0.799967 	 numero de thread:3
0.014388	 0.800032 	 numero de thread:3
0.014451	 0.800097 	 numero de thread:3
0.014514	 0.800162 	 numero de thread:3
0.014577	 0.800227 	 numero de thread:3
0.014640	 0.800292 	 numero de thread:3
0.014703	 0.800357 	 numero de thread:3
0.014765	 0.800422 	 numero de thread:3
0.014828	 0.800487 	 numero de thread:3
0.014891	 0.800552 	 numero de thread:3
0.014954	 0.800618 	 numero de thread:3
0.015017	 0.800683 	 numero de thread:3
0.015080	 0.800748 	 numero de thread:3
0.015142	 0.800813 	 numero de thread:3
0.015205	 0.800878 	 numero de thread:3
0.015268	 0.800943 	 numero de thread:3
0.015331	 0.801008 	 numero de thread:3
0.015394	 0.801073 	 numero de thread:3
0.015457	 0.801138 	 numero de thread:3
0.015519	 0.801204 	 numero de thread:3
0.015582	 0.801269 	 numero de thread:3
0.015645	 0.801334 	 numero de thread:3
0.015708	 0.801399 	 numero de thread:3
0.015771	 0.801464 	 numero de thread:3
0.015834	 0.801529 	 numero de thread:3
0.015896	 0.801595 	 numero de thread:3
0.015959	 0.801660 	 numero de thread:3
0.016022	 0.801725 	 numero de thread:3
0.016085	 0.801790 	 numero de thread:3
0.016148	 0.801856 	 numero de thread:3
0.016211	 0.801921 	 numero de thread:3
0.016273	 0.801986 	 numero de thread:3
0.016336	 0.802051 	 numero de thread:3
0.016399	 0.802117 	 numero de thread:3
0.016462	 0.802182 	 numero de thread:3
0.016525	 0.802247 	 numero de thread:3
0.016588	 0.802313 	 numero de thread:3
0.016650	 0.802378 	 numero de thread:3
0.016713	 0.802443 	 numero de thread:3
0.016776	 0.802509 	 numero de thread:3
0.016839	 0.802574 	 numero de thread:3
0.016902	 0.802639 	 numero de thread:3
0.016965	 0.802705 	 numero de thread:3
0.017027	 0.802770 	 numero de thread:3
0.017090	 0.802835 	 numero de thread:3
0.017153	 0.802901 	 numero de thread:3
0.017216	 0.802966 	 numero de thread:3
0.017279	 0.803032 	 numero de thread:3
0.017342	 0.803097 	 numero de thread:3
0.017404	 0.803163 	 numero de thread:3
0.017467	 0.803228 	 numero de thread:3
0.017530	 0.803293 	 numero de thread:3
0.017593	 0.803359 	 numero de thread:3
0.017656	 0.803424 	 numero de thread:3
0.017719	 0.803490 	 numero de thread:3
0.017781	 0.803555 	 numero de thread:3
0.017844	 0.803621 	 numero de thread:3
0.017907	 0.803686 	 numero de thread:3
0.017970	 0.803752 	 numero de thread:3
0.018033	 0.803817 	 numero de thread:3
0.018096	 0.803883 	 numero de thread:3
0.018158	 0.803948 	 numero de thread:3
0.018221	 0.804014 	 numero de thread:3
0.018284	 0.804080 	 numero de thread:3
0.018347	 0.804145 	 numero de thread:3
0.018410	 0.804211 	 numero de thread:3
0.018473	 0.804276 	 numero de thread:3
0.018535	 0.804342 	 numero de thread:3
0.018598	 0.804408 	 numero de thread:3
0.018661	 0.804473 	 numero de thread:3
0.018724	 0.804539 	 numero de thread:3
0.018787	 0.804605 	 numero de thread:3
0.018850	 0.804670 	 numero de thread:3
0.018912	 0.804736 	 numero de thread:3
0.018975	 0.804802 	 numero de thread:3
0.019038	 0.804867 	 numero de thread:3
0.019101	 0.804933 	 numero de thread:3
0.019164	 0.804999 	 numero de thread:3
0.019227	 0.805064 	 numero de thread:3
0.019289	 0.805130 	 numero de thread:3
0.019352	 0.805196 	 numero de thread:3
0.019415	 0.805262 	 numero de thread:3
0.019478	 0.805327 	 numero de thread:3
0.019541	 0.805393 	 numero de thread:3
0.019604	 0.805459 	 numero de thread:3
0.019666	 0.805525 	 numero de thread:3
0.019729	 0.805590 	 numero de thread:3
0.019792	 0.805656 	 numero de thread:3
0.019855	 0.805722 	 numero de thread:3
0.019918	 0.805788 	 numero de thread:3
0.019981	 0.805854 	 numero de thread:3
0.020043	 0.805919 	 numero de thread:3
0.020106	 0.805985 	 numero de thread:3
0.020169	 0.806051 	 numero de thread:3
0.020232	 0.806117 	 numero de thread:3
0.020295	 0.806183 	 numero de thread:3
0.020358	 0.806249 	 numero de thread:3
0.020420	 0.806315 	 numero de thread:3
0.020483	 0.806381 	 numero de thread:3
0.020546	 0.806447 	 numero de thread:3
0.020609	 0.806512 	 numero de thread:3
0.020672	 0.806578 	 numero de thread:3
0.020735	 0.806644 	 numero de thread:3
0.020797	 0.806710 	 numero de thread:3
0.020860	 0.806776 	 numero de thread:3
0.020923	 0.806842 	 numero de thread:3
0.020986	 0.806908 	 numero de thread:3
0.021049	 0.806974 	 numero de thread:3
0.021112	 0.807040 	 numero de thread:3
0.021174	 0.807106 	 numero de thread:3
0.021237	 0.807172 	 numero de thread:3
0.021300	 0.807238 	 numero de thread:3
0.021363	 0.807304 	 numero de thread:3
0.021426	 0.807370 	 numero de thread:3
0.021488	 0.807436 	 numero de thread:3
0.021551	 0.807502 	 numero de thread:3
0.021614	 0.807569 	 numero de thread:3
0.021677	 0.807635 	 numero de thread:3
0.021740	 0.807701 	 numero de thread:3
0.021803	 0.807767 	 numero de thread:3
0.021865	 0.807833 	 numero de thread:3
0.021928	 0.807899 	 numero de thread:3
